ID_cliente,Permanencia,Genero_cliente,Cliente_Tercera_Edad,Pareja_Cliente,Dependientes_del_Cliente,Meses_del_Contrato,Servicio_telefonico,Multiples_lineas_telefonicas,Sus_Internet,Sus_Seguridad_online,Sus_Respaldo_online,Sus_Protección_al_Dispositivo,Sus_Soporte_Técnico,Sus_Tv_por_cable,sus_streaming_movies,Tipo_Contrato,Preferencia_Factura,Metodo_de_Pago,Gasto_Mensual,Gasto_Total,Cuentas_Diarias
0052-YNYOT,no,female,0,no,no,67,yes,no,no,no,no,no,no,no,no,one year,no,electronic check,20.55,1343.4,0.68
0056-EPFBG,no,male,0,yes,yes,20,no,no,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),39.4,825.4,1.31
0057-QBUQH,no,female,0,no,yes,43,yes,yes,no,no,no,no,no,no,no,two year,yes,electronic check,25.1,1070.15,0.84
0058-EVZWM,no,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.8,4959.6,2.99
0060-FUALY,no,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,5597.65,3.16
0064-SUDOG,no,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),20.3,224.5,0.68
0064-YIJGF,no,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,1929.0,2.52
0067-DKWBL,yes,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.25,91.1,1.64
0068-FIGTF,no,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2078.95,2.61
0071-NDAFP,no,male,0,yes,yes,25,yes,yes,no,no,no,no,no,no,no,two year,no,credit card (automatic),25.5,630.6,0.85
0074-HDKDG,no,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer (automatic),61.6,1611.0,2.05
0076-LVEPS,no,male,0,no,yes,29,no,no,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,45.0,1242.45,1.5
0078-XZMHT,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.15,6316.2,2.84
0080-EMYVY,no,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),51.45,727.85,1.72
0080-OROZO,no,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.25,3532.0,3.31
0082-LDZUE,no,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,44.3,1.48
0082-OQIQY,no,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,2607.6,3.14
0083-PIVIK,no,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,electronic check,81.25,5567.55,2.71
0089-IIQKO,no,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),99.95,3767.4,3.33
0093-EXYQL,no,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6,3.05
0093-XWZFY,yes,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),104.5,4036.85,3.48
0094-OIFMO,yes,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,1120.3,3.17
0096-BXERS,no,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.35,314.55,1.68
0096-FCPUF,no,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,1888.45,2.15
0098-BOWSO,no,male,0,no,no,27,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,19.4,529.8,0.65
0100-DUVFC,no,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.8,7308.95,3.49
0103-CSITQ,no,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),109.4,6252.7,3.65
0104-PPXDV,no,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one year,no,credit card (automatic),50.3,2878.55,1.68
0106-GHRQR,no,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),71.4,1212.1,2.38
0106-UGRDO,no,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,116.0,8182.85,3.87
0107-WESLM,yes,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,19.85,19.85,0.66
0107-YHINA,yes,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.75,99.75,3.32
0111-KLBQG,no,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,2861.45,3.13
0112-QAWRZ,no,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),90.8,1442.2,3.03
0112-QWPNC,yes,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,84.35,4059.35,2.81
0114-IGABW,no,female,0,yes,no,71,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),58.25,4145.9,1.94
0114-PEGZZ,no,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,107.55,3645.5,3.58
0114-RSRRW,no,female,0,yes,no,10,yes,no,no,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),19.95,187.75,0.66
0115-TFERT,yes,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.2,2317.1,3.71
0117-LFRMW,yes,male,0,yes,yes,37,no,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.2,1448.8,1.34
0118-JPNOY,no,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,credit card (automatic),85.8,2193.65,2.86
0120-YZLQA,no reporta,male,0,no,no,71,yes,no,no,no,no,no,no,no,no,two year,yes,credit card (automatic),19.9,1355.1,0.66
0121-SNYRK,no,male,0,no,no,50,no,no,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1748.9,1.18
0122-OAHPZ,yes,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25,2.46
0123-CRBRT,no,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,88.1,5526.75,2.94
0125-LZQXK,yes,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,101.35,1553.95,3.38
0128-MKWSG,no,female,0,no,yes,26,no,no,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,45.8,1147.0,1.53
0129-KPTWJ,no,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.65,6747.35,3.16
0129-QMPDR,no,male,0,yes,yes,44,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer (automatic),20.5,865.05,0.68
0130-SXOUN,no,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,credit card (automatic),89.4,5976.9,2.98
0133-BMFZO,yes,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,86.25,181.65,2.88
0134-XWXCE,no,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),74.85,3268.05,2.49
0135-NMXAP,yes,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.75,1052.4,2.99
0136-IFMYD,no,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,109.95,7634.25,3.66
0137-OCGAB,yes,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.2,80.2,2.67
0137-UDEUO,yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,63.75,0.66
0139-IVFJG,no,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,190.5,3.01
0141-YEAYS,no,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),86.45,2401.05,2.88
0142-GVYSN,no,male,0,no,no,26,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,20.3,511.25,0.68
0147-ESWWR,no,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.25,3949.15,3.38
0148-DCDOS,yes,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),94.7,2362.1,3.16
0151-ONTOV,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,70.9,2.36
0154-QYHJU,no reporta,male,0,no,no,29,yes,no,dsl,yes,yes,no,yes,no,no,one year,yes,electronic check,58.75,1696.2,1.96
0156-FVPTA,yes,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1152.7,1.81
0162-RZGMZ,no reporta,female,1,no,no,5,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.9,287.85,2.0
0164-APGRB,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,114.9,8496.7,3.83
0164-XAIRP,no,female,0,no,no,24,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer (automatic),19.55,470.2,0.65
0168-XZKBB,no,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.85,1564.4,2.9
0174-QRVVY,no,male,0,yes,yes,71,yes,yes,no,no,no,no,no,no,no,two year,no,credit card (automatic),25.35,1847.55,0.85
0177-PXBAT,no,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.9,3694.7,3.66
0178-CIIKR,no,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.95,58.0,0.66
0178-SZBHO,no,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,87.2,4017.45,2.91
0181-RITDD,no,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,108.15,6825.65,3.6
0186-CAERR,no,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),116.3,8309.55,3.88
0187-QSXOE,no,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.0,605.45,2.97
0187-WZNAB,no,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,mailed check,74.4,1972.35,2.48
0188-GWFLE,no,male,0,no,no,2,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.05,33.7,0.67
0191-EQUUH,no,female,0,no,yes,25,no,no,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),35.05,844.45,1.17
0191-ZHSKZ,no,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,2.49
0193-ESZXP,yes,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.5,6205.5,3.52
0195-IESCP,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.25,855.3,2.84
0196-JTUQI,no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),75.2,633.85,2.51
0196-VULGZ,yes,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,474.9,2.81
0197-PNKNK,no,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer (automatic),84.45,5848.6,2.82
0201-MIBOL,no,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,two year,yes,bank transfer (automatic),102.4,6471.85,3.41
0201-OAMXR,yes,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),115.55,8127.6,3.85
0203-HHYIJ,yes,male,0,no,no,25,yes,yes,no,no,no,no,no,no,no,one year,no,bank transfer (automatic),25.3,676.35,0.84
0206-OYVOC,no,female,0,yes,yes,46,yes,no,no,no,no,no,no,no,no,two year,yes,mailed check,19.25,864.2,0.64
0206-TBWLC,no,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5,3.82
0207-MDKNV,yes,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,no,electronic check,105.1,1582.75,3.5
0208-BPQEJ,no,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),19.4,198.1,0.65
0212-ISBBF,no,female,0,no,no,22,no,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1098.85,1.68
0214-JHPFW,no,female,0,yes,no,70,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),57.8,4039.3,1.93
0215-BQKGS,no,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),84.3,2438.6,2.81
0218-QNVAS,no,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),100.55,7113.75,3.35
0219-QAERP,no,male,0,yes,no,30,yes,no,no,no,no,no,no,no,no,one year,no,credit card (automatic),19.8,576.65,0.66
0219-YTZUE,yes,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,371.9,2.83
0220-EBGCE,yes,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.85,167.3,2.86
0221-NAUXK,no,male,0,no,yes,10,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer (automatic),19.95,219.5,0.66
0221-WMXNQ,no,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,75.35,273.4,2.51
0222-CNVPT,no,male,1,no,no,52,no,no,dsl,yes,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),48.8,2555.05,1.63
0224-HJAPT,yes,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,47.15,223.15,1.57
0224-NIJLP,no,male,0,yes,yes,8,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,20.15,165.5,0.67
0224-RLWWD,no,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,89.3,1.48
0225-ZORZP,no,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.3,235.05,2.81
0228-MAUWC,no,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1144.6,1.98
0229-LFJAF,no,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.65,4908.25,2.32
0230-UBYPQ,no,male,1,yes,no,63,no,no,dsl,yes,no,no,yes,no,no,one year,no,bank transfer (automatic),36.1,2298.9,1.2
0230-WEQUW,no,male,0,yes,no,66,no,no,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),56.6,3789.2,1.89
0231-LXVAP,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,75.9,75.9,2.53
0233-FTHAV,no,female,0,no,no,60,yes,yes,fiber optic,no,no,yes,no,no,no,one year,yes,bank transfer (automatic),79.2,4765.0,2.64
0234-TEVTT,no,female,0,yes,yes,48,no,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),45.0,2196.3,1.5
0235-KGSLC,yes,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),85.55,85.55,2.85
0236-HFWSV,yes,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.35,1444.65,3.11
0237-YFUTL,no,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.65,5405.8,3.66
0238-WHBIQ,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.7,6339.3,2.99
0239-OXEXL,no,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,no,mailed check,84.25,3847.6,2.81
0244-LGNFY,no,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),92.65,6733.0,3.09
0247-SLUJI,no,male,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.7,19.7,0.66
0248-IPDFW,no,female,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.1,50.1,1.67
0248-PGHBZ,no,female,1,no,no,67,yes,no,fiber optic,yes,yes,no,yes,yes,no,two year,yes,bank transfer (automatic),92.45,6140.85,3.08
0253-ZTEOB,no,female,0,yes,yes,48,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,electronic check,79.65,3870.3,2.66
0254-FNMCI,no,female,0,no,no,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,109.9,7624.2,3.66
0254-KCJGT,no,male,0,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),81.4,4354.45,2.71
0254-WWRKD,no,female,0,yes,yes,67,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),50.55,3431.75,1.68
0256-LTHVJ,yes,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,2227.1,2.7
0257-KXZGU,no,female,0,yes,yes,32,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),62.45,2045.55,2.08
0257-ZESQC,yes,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.2,1929.35,2.51
0258-NOKBL,no,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,90.4,268.45,3.01
0259-GBZSH,yes,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,181.5,2.86
0260-ZDLGK,yes,female,0,no,yes,9,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,mailed check,72.9,651.4,2.43
0263-FJTQO,no,male,0,yes,yes,50,yes,yes,dsl,yes,no,no,yes,yes,no,two year,yes,credit card (automatic),70.5,3486.65,2.35
0264-CNITK,no,female,0,yes,yes,71,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),20.1,1389.6,0.67
0265-EDXBD,yes,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.9,2303.35,2.5
0265-PSUAE,no,female,0,yes,yes,16,yes,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),100.7,1522.7,3.36
0266-CLZKZ,no,female,0,yes,yes,67,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),105.65,6717.9,3.52
0266-GMEAO,no,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.3,8058.55,3.81
0268-QKIWO,yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,electronic check,19.75,58.85,0.66
0269-XFESX,no,male,0,yes,yes,23,yes,yes,no,no,no,no,no,no,no,one year,no,mailed check,24.35,538.5,0.81
0270-THENM,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.85,5102.35,2.33
0274-JKUJR,no,male,0,yes,yes,7,no,no,dsl,yes,yes,yes,no,yes,yes,month-to-month,no,mailed check,58.85,465.7,1.96
0274-VVQOQ,no reporta,male,1,yes,no,65,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),103.15,6792.45,3.44
0277-BKSQP,no,male,0,yes,yes,8,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.4,475.1,1.81
0277-ORXQS,no,male,0,yes,yes,66,no,no,dsl,no,no,no,yes,yes,yes,two year,no,bank transfer (automatic),50.55,3364.55,1.68
0278-YXOOG,yes,male,0,no,no,5,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,21.05,113.85,0.7
0280-XJGEX,yes,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,5036.3,3.46
0281-CNTZX,no,male,0,yes,no,63,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer (automatic),19.95,1234.8,0.66
0282-NVSJS,no,female,1,yes,yes,12,no,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,29.3,355.9,0.98
0285-INHLN,no,male,0,yes,yes,27,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),54.75,1510.3,1.82
0289-IVARM,no,female,0,no,no,35,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,electronic check,60.55,1982.6,2.02
